course_number,name_hebrew,credits,course_type,majors,is_core_in_major,id,created_date,updated_date,created_by_id,created_by,is_sample
3360325,אולטרסאונד ברפואה,2.5,elective,"[""""imaging_signals"""",""""medical_biophysics""""]",FALSE,684b5153efd6147ccbbb6f34,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
3360533,אופטיקה ופוטוניקה,3,elective,"[""""medical_biophysics""""]",FALSE,684b5153efd6147ccbbb6f6e,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
2340202,אותות אקראיים,3,elective,"[""""imaging_signals""""]",FALSE,684b5153efd6147ccbbb6f44,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
044131,אותות ומערכות,5,mandatory,[],FALSE,684b4a100f83407d0c4c5864,12/06/2025 21:43,12/06/2025 21:43,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
2760413,אימונולוגיה בסיסית,3,elective,"[""""tissue_biomaterials""""]",FALSE,684b5153efd6147ccbbb6f6c,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
104065,אלגברה 1מ',5,mandatory,[],FALSE,684b4431efd6147ccbbb6916,12/06/2025 21:18,12/06/2025 21:18,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
104065,אלגברה 1מ2,5,mandatory,[],FALSE,684b4a100f83407d0c4c5852,12/06/2025 21:43,12/06/2025 21:43,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
104038,אלגברה 2מ',2.5,mandatory,[],FALSE,684b4431efd6147ccbbb691c,12/06/2025 21:18,12/06/2025 21:18,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
2360746,אלגוריתמים ויישומים בראייה ממוחשבת,3,elective,"[""""imaging_signals""""]",FALSE,684b5153efd6147ccbbb6f4c,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
0360076,אלקטרו קינטיקה בננו ומיקרו-זרימה,3,elective,"[""""biomechanics_flow""""]",FALSE,684b5153efd6147ccbbb6f59,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
114246,אלקטרומגנטיות,5,mandatory,[],FALSE,684b4a100f83407d0c4c5882,12/06/2025 21:43,12/06/2025 21:43,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
274257,אנטומיה א,6,mandatory,[],FALSE,684b4a100f83407d0c4c5887,12/06/2025 21:43,12/06/2025 21:43,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
274266,אנטומיה ב,6,mandatory,[],FALSE,684b4a100f83407d0c4c5889,12/06/2025 21:43,12/06/2025 21:43,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
034033,אנליזה נומרית,3,elective,"[""""biomechanics_flow""""]",FALSE,684b4431efd6147ccbbb6952,12/06/2025 21:18,12/06/2025 21:18,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
1030033,אנליזה נומרית מ',3,elective,"[""""imaging_signals"""",""""biomechanics_flow""""]",FALSE,684b5153efd6147ccbbb6f41,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
0340033,אנליזה נומרית מ׳,3,elective,"[""""imaging_signals"""",""""biomechanics_flow""""]",FALSE,684b4c3801e810ca5e3f2444,12/06/2025 21:52,12/06/2025 21:52,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
044102,בטיחות במעבדות חשמל,0,mandatory,[],FALSE,684b4a100f83407d0c4c5851,12/06/2025 21:43,12/06/2025 21:43,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
3360517,ביו-הנדסה של התא,2.5,elective,"[""""biomechanics_flow"""",""""tissue_biomaterials""""]",FALSE,684b5153efd6147ccbbb6f50,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
3360517,ביו-הנדסה של התא,2.5,elective,"[""""biomechanics_flow"""",""""tissue_biomaterials""""]",FALSE,684b4c3801e810ca5e3f2453,12/06/2025 21:52,12/06/2025 21:52,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
0660333,ביו-רוקחות,2.5,elective,"[""""tissue_biomaterials""""]",FALSE,684b5153efd6147ccbbb6f65,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
274241,ביוכימיה כללית,4.5,mandatory,[],FALSE,684b4a100f83407d0c4c5886,12/06/2025 21:43,12/06/2025 21:43,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
134058,ביולוגיה 1,3,mandatory,[],FALSE,684b4a100f83407d0c4c5856,12/06/2025 21:43,12/06/2025 21:43,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
1340141,ביולוגיה חישובית,2.5,elective,"[""""medical_biophysics""""]",FALSE,684b5153efd6147ccbbb6f73,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
1260304,ביולוגיה מבנית,2,elective,"[""""medical_biophysics""""]",FALSE,684b5153efd6147ccbbb6f72,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
1340082,ביולוגיה מולקולרית,2.5,elective,"[""""tissue_biomaterials"""",""""medical_biophysics""""]",FALSE,684b5153efd6147ccbbb6f69,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
1340069,ביולוגיה של ההתפתחות,2.5,elective,"[""""tissue_biomaterials""""]",FALSE,684b5153efd6147ccbbb6f68,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
274167,ביולוגיה של התא,3.5,mandatory,[],FALSE,684b4a100f83407d0c4c5884,12/06/2025 21:43,12/06/2025 21:43,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
0360090,ביומכניקה וחישה מכנית של תאים,3,elective,"[""""biomechanics_flow"""",""""medical_biophysics""""]",FALSE,684b5153efd6147ccbbb6f5b,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
3360506,ביומכניקה שיקומית,2.5,elective,"[""""biomechanics_flow""""]",TRUE,684b5153efd6147ccbbb6f4f,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
336537,ביופיזיקה ונוירופיזיולוגיה למהנדסים,3,mandatory,[],FALSE,684b4a100f83407d0c4c5868,12/06/2025 21:43,12/06/2025 21:43,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
3360550,ביופיזיקה חישובית,2.5,elective,"[""""imaging_signals"""",""""biomechanics_flow"""",""""tissue_biomaterials"""",""""medical_biophysics""""]",FALSE,684b5153efd6147ccbbb6f40,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
1340156,ביופיזיקה מולקולרית,3,elective,"[""""medical_biophysics""""]",FALSE,684b5153efd6147ccbbb6f74,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
1160321,ביופיזיקה של התא,3,elective,"[""""medical_biophysics""""]",FALSE,684b5153efd6147ccbbb6f70,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
336537,ביופיסיקה ונוירופיסיולוגיה למהנדסים,3,mandatory,[],FALSE,684b4431efd6147ccbbb692c,12/06/2025 21:18,12/06/2025 21:18,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
116321,ביופיסיקה של התא,3,elective,"[""""medical_biophysics""""]",FALSE,684b4431efd6147ccbbb696b,12/06/2025 21:18,12/06/2025 21:18,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
1340119,בקרת הביטוי הגנטי,2.5,elective,"[""""tissue_biomaterials"""",""""medical_biophysics""""]",FALSE,684b5153efd6147ccbbb6f6a,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
114086,גלים,3.5,mandatory,[],FALSE,684b4a100f83407d0c4c5879,12/06/2025 21:43,12/06/2025 21:43,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
1340020,גנטיקה כללית,3.5,elective,"[""""tissue_biomaterials""""]",FALSE,684b5153efd6147ccbbb6f67,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
0660121,דיאגנוסטיקה רפואית,3,elective,"[""""tissue_biomaterials""""]",FALSE,684b5153efd6147ccbbb6f66,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
3360547,דימוי אופטי חישובי,2.5,elective,"[""""imaging_signals"""",""""medical_biophysics""""]",FALSE,684b4c3801e810ca5e3f2441,12/06/2025 21:52,12/06/2025 21:52,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
3360547,דימות אופטי חישובי,2.5,elective,"[""""imaging_signals"""",""""medical_biophysics""""]",FALSE,684b5153efd6147ccbbb6f3e,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
2160020,דימות מוח – תאוריה ופרקטיקה,2.5,faculty_elective,[],FALSE,684b5153efd6147ccbbb6f7f,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
0840225,דינמיקה,4,elective,"[""""biomechanics_flow""""]",FALSE,684b5153efd6147ccbbb6f5c,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
3360529,הנדסת רקמות ותחליפים ביולוגיים,2.5,elective,"[""""tissue_biomaterials""""]",FALSE,684b5153efd6147ccbbb6f61,12/06/2025 22:14,12/06/2025 22:14,684b01f9fc0c7184ae28c3b1,ranbenayoun@gmail.com,FALSE
